CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
571;29230;VIA DON LUIGI GUANELLA;16;Savena;VIA DOMENICO SCARLATTI;VIA GIUSEPPE TORELLI;5746;5747;1992-01-10;133.0;;;;;1;;7;;44.467233470541274, 11.374412371386432;"{""coordinates"": [[11.374195021332808, 44.466655050053035], [11.374605132960507, 44.467744424807364], [11.374618260467559, 44.467782295813116], [11.374600820904973, 44.467809198300095]], ""type"": ""LineString""}";759455.0
573;26600;VIA GHERARDO GHIRARDINI;16;Savena;VIA GIUSEPPE TORELLI;VIA AMILCARE PONCHIELLI;5743;5744;1991-10-21;64.0;38;;40;;19;;21;B;44.466575918114266, 11.372979849558833;"{""coordinates"": [[11.373076510141368, 44.46685466890558], [11.372883188976298, 44.46629716732295]], ""type"": ""LineString""}";759649.0
576;23700;VIA DELLA FOSCHERARA;16;Savena;VIA UMBERTO GIORDANO;VIA GHERARDO GHIRARDINI;5757;5735;1991-10-21;67.0;4;11;4;12;3;;3;2A;44.46857064159772, 11.373224980212896;"{""coordinates"": [[11.37283399363801, 44.46867930992378], [11.373229286008943, 44.468573945345454], [11.373613533796386, 44.468453576624064]], ""type"": ""LineString""}";759305.0
578;36350;VIA PIETRO MASCAGNI;16;Savena;VIA UMBERTO GIORDANO;VIA GHERARDO GHIRARDINI;5762;13503;1991-10-21;77.0;8;;8;;9;;9;;44.46998540761688, 11.373603084254508;"{""coordinates"": [[11.373125335635882, 44.47002910128423], [11.374080832873137, 44.46994171394953]], ""type"": ""LineString""}";760156.0
3556;52450;VIA DI SALICETO;12;Navile;VIA ALFONSO LOMBARDI;VIA BARTOLOMEO PASSAROTTI;10685;10433;1991-10-21;85.0;60;2;64;;43;;45;5;44.5168266598139, 11.350247957084726;"{""coordinates"": [[11.350238580060548, 44.51721091984198], [11.350257334108901, 44.51644239978583]], ""type"": ""LineString""}";759428.0
3564;3250;VIA BRUNO ARNAUD;12;Navile;VIA VITTORIO ALFIERI;VIA GIORGIO VASARI;10680;10687;1991-10-21;100.0;28;;32;;19;;23;;44.517848363046475, 11.352816285717516;"{""coordinates"": [[11.353395332906846, 44.517670425576206], [11.352237238528186, 44.518026300516745]], ""type"": ""LineString""}";758958.0
3565;60500;VIA GIORGIO VASARI;12;Navile;VIA BRUNO ARNAUD;VIA DON GIOVANNI FORNASINI;10683;10680;1991-10-21;74.0;32;;34;E;19;;21;;44.51833660723601, 11.352405536298276;"{""coordinates"": [[11.35257383406837, 44.51864691395528], [11.352237238528186, 44.518026300516745]], ""type"": ""LineString""}";759684.0
3566;32400;VIA ALFONSO LOMBARDI;12;Navile;VIA DI SALICETO;VIA GIORGIO VASARI;10433;10436;1991-10-21;81.0;28;;38;;33;;35;;44.516358292501124, 11.350747898199707;"{""coordinates"": [[11.350257334108901, 44.51644239978583], [11.35033554664944, 44.516438979941434], [11.350556617324445, 44.51640549377999], [11.350784819618386, 44.516361003244555], [11.351019875728324, 44.5162982939647], [11.351232133363682, 44.516240302996835]], ""type"": ""LineString""}";758771.0
714;63000;VIA LUDWIG LEJZER ZAMENHOF;15;Santo Stefano;VIA GIUSEPPE DAGNINI;VIA BENIAMINO GIGLI;5844;5840;1991-10-21;89.0;8;;10;B;7;;9;;44.47696855462295, 11.3682244537136;"{""coordinates"": [[11.367807961979473, 44.47723834678203], [11.367881331085497, 44.47718025254655], [11.368646573956509, 44.47670678317524]], ""type"": ""LineString""}";759916.0
716;44200;VIA PARISIO;15;Santo Stefano;VIA TRANQUILLO CREMONA;VIA GHERARDO FORNI;5881;5802;1991-10-21;95.0;34;;38;4;19;;23;C;44.475391878029114, 11.373993327740163;"{""coordinates"": [[11.374317294419308, 44.47575121207598], [11.37416642429856, 44.47558013156578], [11.37366692395366, 44.47503473424221]], ""type"": ""LineString""}";760106.0
