CODICE;Geo Point;Geo Shape
16200;44.50223955795361, 11.37893210594114;"{""coordinates"": [11.37893210594114, 44.50223955795361], ""type"": ""Point""}"
16201;44.502500864363334, 11.377143997957846;"{""coordinates"": [11.377143997957846, 44.502500864363334], ""type"": ""Point""}"
16204;44.495888361425436, 11.375745266114922;"{""coordinates"": [11.375745266114922, 44.495888361425436], ""type"": ""Point""}"
16205;44.49618137849217, 11.375368851198868;"{""coordinates"": [11.375368851198868, 44.49618137849217], ""type"": ""Point""}"
14716;44.5013547210702, 11.318204413476563;"{""coordinates"": [11.318204413476563, 44.5013547210702], ""type"": ""Point""}"
16132;44.47242901406582, 11.360432208469058;"{""coordinates"": [11.360432208469058, 44.47242901406582], ""type"": ""Point""}"
16138;44.52566080351079, 11.41432413995488;"{""coordinates"": [11.41432413995488, 44.52566080351079], ""type"": ""Point""}"
16139;44.4948611307803, 11.345987329787176;"{""coordinates"": [11.345987329787176, 44.4948611307803], ""type"": ""Point""}"
16169;44.49356328119439, 11.359034957224878;"{""coordinates"": [11.359034957224878, 44.49356328119439], ""type"": ""Point""}"
16168;44.4941778833885, 11.359144935809919;"{""coordinates"": [11.359144935809919, 44.4941778833885], ""type"": ""Point""}"
16173;44.491958303043354, 11.368503441438891;"{""coordinates"": [11.368503441438891, 44.491958303043354], ""type"": ""Point""}"
5597;44.46123476068867, 11.401078001658307;"{""coordinates"": [11.401078001658307, 44.46123476068867], ""type"": ""Point""}"
17059;44.4610695492026, 11.319276114251805;"{""coordinates"": [11.319276114251805, 44.4610695492026], ""type"": ""Point""}"
17062;44.46852800422469, 11.379358308262796;"{""coordinates"": [11.379358308262796, 44.46852800422469], ""type"": ""Point""}"
17065;44.47207264186054, 11.38071742395558;"{""coordinates"": [11.38071742395558, 44.47207264186054], ""type"": ""Point""}"
17067;44.4947587420197, 11.314240596390523;"{""coordinates"": [11.314240596390523, 44.4947587420197], ""type"": ""Point""}"
16208;44.50791317408119, 11.389241802260623;"{""coordinates"": [11.389241802260623, 44.50791317408119], ""type"": ""Point""}"
17415;44.53585959658345, 11.271103425034212;"{""coordinates"": [11.271103425034212, 44.53585959658345], ""type"": ""Point""}"
17416;44.53546618980172, 11.270313909603475;"{""coordinates"": [11.270313909603475, 44.53546618980172], ""type"": ""Point""}"
17420;44.537106960579926, 11.360525438493566;"{""coordinates"": [11.360525438493566, 44.537106960579926], ""type"": ""Point""}"
17428;44.508812412923895, 11.294913481243494;"{""coordinates"": [11.294913481243494, 44.508812412923895], ""type"": ""Point""}"
17430;44.52058231670404, 11.28173338044918;"{""coordinates"": [11.28173338044918, 44.52058231670404], ""type"": ""Point""}"
17443;44.496265274008785, 11.39282190701239;"{""coordinates"": [11.39282190701239, 44.496265274008785], ""type"": ""Point""}"
17446;44.529077616867134, 11.351304355672724;"{""coordinates"": [11.351304355672724, 44.529077616867134], ""type"": ""Point""}"
17452;44.53115504133786, 11.270111686876913;"{""coordinates"": [11.270111686876913, 44.53115504133786], ""type"": ""Point""}"
17454;44.5274739121816, 11.272940536762933;"{""coordinates"": [11.272940536762933, 44.5274739121816], ""type"": ""Point""}"
17459;44.49184086439529, 11.29387282475036;"{""coordinates"": [11.29387282475036, 44.49184086439529], ""type"": ""Point""}"
17462;44.530057455890756, 11.269284653648054;"{""coordinates"": [11.269284653648054, 44.530057455890756], ""type"": ""Point""}"
16554;44.504885730755426, 11.397539691815924;"{""coordinates"": [11.397539691815924, 44.504885730755426], ""type"": ""Point""}"
16214;44.495309618388816, 11.403411825115755;"{""coordinates"": [11.403411825115755, 44.495309618388816], ""type"": ""Point""}"
78;44.49468207841668, 11.333795580539451;"{""coordinates"": [11.333795580539451, 44.49468207841668], ""type"": ""Point""}"
77;44.49442170695302, 11.336520121102561;"{""coordinates"": [11.336520121102561, 44.49442170695302], ""type"": ""Point""}"
16677;44.493806654001204, 11.328729342708137;"{""coordinates"": [11.328729342708137, 44.493806654001204], ""type"": ""Point""}"
16687;44.497187594527226, 11.327532123499973;"{""coordinates"": [11.327532123499973, 44.497187594527226], ""type"": ""Point""}"
16694;44.49301849858408, 11.340750685969105;"{""coordinates"": [11.340750685969105, 44.49301849858408], ""type"": ""Point""}"
16698;44.501447520570466, 11.331250621238546;"{""coordinates"": [11.331250621238546, 44.501447520570466], ""type"": ""Point""}"
16712;44.50025497591971, 11.33371003528359;"{""coordinates"": [11.33371003528359, 44.50025497591971], ""type"": ""Point""}"
16708;44.500420207703726, 11.33176289298402;"{""coordinates"": [11.33176289298402, 44.500420207703726], ""type"": ""Point""}"
16709;44.50031368910098, 11.332905433222583;"{""coordinates"": [11.332905433222583, 44.50031368910098], ""type"": ""Point""}"
16711;44.50036561339327, 11.334405030197061;"{""coordinates"": [11.334405030197061, 44.50036561339327], ""type"": ""Point""}"
16719;44.50327950059595, 11.334502931559937;"{""coordinates"": [11.334502931559937, 44.50327950059595], ""type"": ""Point""}"
16720;44.504138586960465, 11.33620207895825;"{""coordinates"": [11.33620207895825, 44.504138586960465], ""type"": ""Point""}"
16723;44.50483051529734, 11.34545577836849;"{""coordinates"": [11.34545577836849, 44.50483051529734], ""type"": ""Point""}"
